LOCALIZACAO
ACESSO SALA EMBARQ. ESQUERDA
ACHADOS E PERDIDOS
ANAC
AZUL COE
BALCÃO DE CHECK-IN-01
BALCÃO DE CHECK-IN-02
BALCÃO DE CHECK-IN-07
BALCÃO DE CHECK-IN-08
BALCÃO DE CHECK-IN-09
BALCÃO DE CHECK-IN-10
BALCÃO DE CHECK-IN-11
BALCÃO DE CHECK-IN-12
BALCÃO DE CHECK-IN-13
BALCÃO DE CHECK-IN-14
BALCÃO DE CHECK-IN-15
BALCÃO DE CHECK-IN-16
BALCÃO DE CHECK-IN-17
BALCÃO DE CHECK-IN-18
BALCÃO DE CHECK-IN-19
BALCÃO DE CHECK-IN-20
BALCÃO DE CHECK-IN-21
BALCÃO DE CHECK-IN-22
BALCÃO DE CHECK-IN-23
BALCÃO DE CHECK-IN-24
BALCÃO DE CHECK-IN-25
BALCÃO DE CHECK-IN-26
BALCÃO DE CHECK-IN-27
BALCÃO DE CHECK-IN-28
BALCÃO DE CHECK-IN-29
BALCÃO DE CHECK-IN-30
BALCÃO DE CHECK-IN-31
BALCÃO DE INFORMAÇÕES
BYSEVEN
CANAL INSPEÇÃO
CANAL INSPEÇÃO C
CARROSEL DE BAGAGEM (CHEK-IN 1-15)
CARROSEL DE BAGAGEM (CHEK-IN 16-31)
CCA REMOTO
CCO
CENTRAL TELEFONICA
CMES
Credenciamento
CUT
DATA CENTER
DDCWALL-001
DDCWALL-002
DDCWALL-003
DDCWALL-004
DESEMBARQUE
DESEMBARQUE INTERNACIONAL
EM FRENTE CHEK-IN 06
EMBARQUE GATE 01
EMBARQUE GATE 5
EMBARQUE GATE 6
EMBARQUE VIDEOWALL
ENTRADA ADM COVID
ESTEIRA 01 (LADO AR)
ESTEIRA 02 (LADO AR)
ESTEIRA 04 (LADO AR)
ESTEIRA 05 (LADO AR)
ESTEIRA BAGAGEM 01 (TERRA)
ESTEIRA BAGAGEM 02 (TERRA)
ESTEIRA BAGAGEM 03 (TERRA)
ESTEIRA BAGAGEM 04 (TERRA)
ESTEIRA BAGAGEM 05 (TERRA)
FISCAIS PATIO
FLN
FRENTE AGUIA BRANCA
FRENTE AO CANAL DE INSPEÇÃO LADO AR
FRENTE AO CHECKI-IN 21
FRENTE AO NESCAFE
FRENTE ESCADA ROLANTE DESEMB.
GOL BACKOFFICE
GUARITA 01
GUARITA 02
GUARITA 03 (SAIDA EST)
GUARITA 04 (ENTRADA EST)
GUARITA 05 (PROX SUB EST)
GUARITA 06 (GOLF 03)
IC SUPPLY
LATAM
Operações 05
PAXSEC
Petrobras
POLICIA FEDERAL
Portão 7
PORTÃO DE EMBARQUE 1
PORTÃO DE EMBARQUE 2
PORTÃO DE EMBARQUE 3
PORTÃO DE EMBARQUE 4
PORTÃO DE EMBARQUE 7
PORTÃO DE EMBARQUE 8
PORTÃO DESEMBARQUE
PRC ALIMENT. LA PASTA / BURGUER
PRÓXIMO LOJA AMENDOIN
RECEPÇÃO ZURICH
RESTITUIÇÃO ESTEIRA 3
SALA AGENTES
SALA ÁTICO
SALA COMPANHIAS AÉREAS
SALA CONCESSIONÁRIAS
SALA DA LIDER
Sala de agentes
SALA DE CRISE
Sala de Lider
SALA EMBARQ. (GATE2 ESQUERDA)
SALA EMBARQ. (GATE3 ESQUERDA)
SALA EMBARQ. (GATE4 DIREITA)
SALA EMBARQ. (GATE5 DIREITA)
SALA LIDER
SALA SEGURANÇA ASEB BACKOFFICE
SALA SEGURANÇA ZURICH BACKOFFICE
SALA TEC 01
SALA TEC 02
SALA TEC 03
SALA TEC 04
SALA TEC 05
SALA TEC 06
SALA TEC 07
SALA TEC 08
SALA TEC 09
SALA TEC -ADM 
SCI
SUB CAB 01
SUB CAB 02
SUB EST APOIO
TPS II CENTRAL TELEFONICA
TPS II CPD
TPS II DESEMBARQUE
TPS II EMBARQUE
TPS II PATIO
TPS II SALA TEC PATIO
WIDEOWALL PARTIDAS 1° PAVIMENTO
